ID;Name;OrtsID;lat;lon
KAM_BW_BON_Ablauf;Ablauf;KAM_BW_BON;48,534804;8,875112
KAM_BW_EPP_Zulauf;Zulauf;KAM_BW_EPP;49,141572;8,925
KAM_BW_EPP_Ablauf;Ablauf;KAM_BW_EPP;49,141572;8,925
KAM_BW_EPP_PS;Primärschlamm;KAM_BW_EPP;49,141572;8,925
KAM_BW_EPP_USS;Überschussschlamm;KAM_BW_EPP;49,141572;8,925
KAM_BY_BOB_Ablauf;Ablauf;KAM_BY_BOB;48,286496;10,829547
KAM_HB_HBR_Ablauf;Ablauf;KAM_HB_HBR;53,114704;8,712631
KAM_NW_BHK_Ablauf;Ablauf;KAM_NW_BHK;50,940534;6,656646
KAM_BB_POT_Ablauf;Ablauf;KAM_BB_POT;49,210257;7,029439
KAM_SN_DD_Ablauf;Ablauf;KAM_SN_DD;53,114704;8,712631
